index,original_text,text,category,quarter,ground_truth
156,China has f*ucked the world ! #ChinaLiedPeopleDied,china has fucked the world,asian,Q1_2020,1
161,"So we had to postpone our Disneyland trip to this month. And as it approaches, I m getting very very anxious about taking Nalani. Idk if I wanna expose her to all these unvaccinated &amp;/or sick kids anymore.",so we had to postpone our disneyland trip to this month and as it approaches i m getting very very anxious about taking nalani idk if i wanna expose her to all these unvaccinated or sick kids anymore,vaccine,Q1_2020,0
186,I know the #okboomer thing has died down a little bit but boomers are what gave us Biden so just fuck boomers.,i know the okboomer thing has died down a little bit but boomers are what gave us biden so just fuck boomers,ageism,Q1_2020,1
191,this council is a bunch of self serving #okboomer schleps. #HRM,this council is a bunch of self serving okboomer schleps,ageism,Q1_2020,1
197,"Not to be that Millennial on Main, but, uh, I just had the Boomerest of Boomer interactions. I, just, wowwwwww. #okboomer",not to be that millennial on main but uh i just had the boomerest of boomer interactions i just wo,ageism,Q1_2020,0
212,".@GretaThunberg @wef Big future in selling shovels! Imagine how many people would die here without #fossilfuels , Let's rely on #boomer engineers for #climate and energy policy, not kids.",big future in selling shovels imagine how many people would die here without fossilfuels  lets rely on boomer engineers for climate and energy policy not kids,ageism,Q1_2020,0
213,People so damn retarded with this antivax ugh now your baby dead,people so damn retarded with this antivax ugh now your baby dead,vaccine,Q1_2020,1
223,#MakeChinaPay this Chinese virus taking people to hell !. #ChinaLiedPeopleDie #indiawillwincorona,this chinese virus taking people to hell,asian,Q1_2020,0
227,I didnt know her but this hurts to read: DONT EVER LET ANYONE SILENCE YOUR TRUTH! @CTNkingandqueen #ImChangingtheNarrative #takeoffthemask #DESTROYperfect Flack's cause of death revealed as family releases unpublished Instagram post | Fox News,i didnt know her but this hurts to read dont ever let anyone silence your truth flacks cause of death revealed as family releases unpublished instagram post  fox news,mask,Q1_2020,0
239,So #millennials aren t the woke Socially conscious anti materialistic #generation they all pretend to be. Like @BarackObama said. Easier to take selfies at rallies and tweet criticism of others harder to do something yourselves. Just like your #okboomer parents @billmaher,so millennials aren t the woke socially conscious anti materialistic generation they all pretend to be like said easier to take selfies at rallies and tweet criticism of others harder to do something yourselves just like your okboomer parents,ageism,Q1_2020,0
260,#ChineseBioterrorism #ChinaLiedPeopleDied Global Chinese cheats,global chinese cheats,asian,Q1_2020,1
262,#okboomer if y all weren t our parents... we all thinking it.,if y all weren t our parents we all thinking it,ageism,Q1_2020,0
267,Watching the #GRAMMYS red carpet is just me asking Who dafuq is that!? on repeat #oldaf,watching the grammys red carpet is just me asking who dafuq is that on repeat,ageism,Q1_2020,0
283,#Trump2020 #MAGA2020 #ChinaLiedPeopleDied #ChineseVirus19 #VentilatorShortage #PPEshortage #CoronaUpdate why s he giving supplies away?,why s he giving supplies away,asian,Q1_2020,0
314,"Gosh, maybe we just need to pull ourselves up by our bootstraps a little harder? I dunno... #okboomer",gosh maybe we just need to pull ourselves up by our bootstraps a little harder i dunno,ageism,Q1_2020,0
316,@tothestarsinc really knows how to get me. #takeallmymoney #okboomer,really knows how to get me,ageism,Q1_2020,0
321,"#Millenials are outraged that their spring break plans are ruined by #pandemic restrictions. Okay, you got us. #COVID19 is all a grand #okboomer scheme to completely screw with your fun in the sun party plans.",millenials are outraged that their spring break plans are ruined by pandemic restrictions okay you got us covid19 is all a grand okboomer scheme to completely screw with your fun in the sun party plans,ageism,Q1_2020,0
322,Anti-vaxxers currently getting a demo of a vaccine-free world. #antivax #coronavirus #COVID19 #BelgiumLockdown #coronavirusbelgium,antivaxxers currently getting a demo of a vaccinefree world,vaccine,Q1_2020,0
325,This #antivax moron has gambled his childrens life and health on some magical pseudoscientific fantasy. That's child abuse. I hope his children make a full recovery from his sick abuse.,this antivax moron has gambled his childrens life and health on some magical pseudoscientific fantasy thats child abuse i hope his children make a full recovery from his sick abuse,vaccine,Q1_2020,1
329,"This week in @CUComm3200, I learned that I am part of iGen . I knew Boomers liked to pick on us GenZ kids about our phones, but I was surprised to see such doom and gloom from a Karen , Twenge. I feel sorry for the manager who works at her phone company... #okkaren #okboomer",this week in  i learned that i am part of igen  i knew boomers liked to pick on us genz kids about our phones but i was surprised to see such doom and gloom from a karen  twenge i feel sorry for the manager who works at her phone company,ageism,Q1_2020,0
331,"F*U #China ! You Filthy Land of Corruption, Perversion and Endless Crimes Against Humanity AND Animals In All History - #CCP_is_terrorist #XiJinping #CCP",fu china  you filthy land of corruption perversion and endless crimes against humanity and animals in all history,asian,Q1_2020,1
347,"32 pediatric #influenza deaths so far. Ignore the #antivax misinformation campaign, they don't care about child. The flu #vaccine is safe and can prevent hospitalization or death.",32 pediatric influenza deaths so far ignore the antivax misinformation caign they dont care about child the flu vaccine is safe and can prevent hospitalization or death,vaccine,Q1_2020,0
352,"$8.3b for a virus that has killed less people than Hillary, but can't support $5b for a wall to stop illegals that have raped and killed 1000's, and come across unvaccinated, bringing disease and parasites.",83b for a virus that has killed less people than hillary but cant support 5b for a wall to stop illegals that have raped and killed 1000s and come across unvaccinated bringing disease and parasites,vaccine,Q1_2020,1
368,Honest to god. I don t even need to say anything. Just look at this picture. #okboomer,honest to god i don t even need to say anything just look at this picture,ageism,Q1_2020,0
377,"Never forgive and never forgot the #HKPoliceBrutality , fight for our home, #StandWithHongKong #FiveDemandsNotOneLess #CCP_is_terrorist",never forgive and never forgot the hkpolicebrutality  fight for our home,asian,Q1_2020,0
389,"I don't understand the government's stance, ""herd immunity"", as I understand it, that a high % of vaccinated people naturally protects the unvaccinated, has no relevance to where we are right now....it's nonsense. I think it's BS from the same people who bought us Brexit.",i dont understand the governments stance herd immunity as i understand it that a high % of vaccinated people naturally protects the unvaccinated has no relevance to where we are right nowits nonsense i think its bs from the same people who bought us brexit,vaccine,Q1_2020,0
395,How are they're people ignorant enough to think that the earth is a ball? How would we even be able to stand on it without falling? It makes no sense! #FlatEarth #flatearther #antivax,how are theyre people ignorant enough to think that the earth is a ball how would we even be able to stand on it without falling it makes no sense,vaccine,Q1_2020,0
404,#ccp do many evil things. we know now #StandWithHongKong #FightForFreedom never forget #chinazi #ChinaVirus #China_is_terrorist,ccp do many evil things we know now never forget,asian,Q1_2020,0
416,"I like Fake Coachella posters that are popping up on twitter more than the real Coachella posters, because I know more of the acts on the fake ones. #sixthdecade #oldaf",i like fake coachella posters that are popping up on twitter more than the real coachella posters because i know more of the acts on the fake ones,ageism,Q1_2020,0
430,"And if you find yourself believing anything coming out of China as fact, I have a bridge to sell you #CCPVirus",and if you find yourself believing anything coming out of china as fact i have a bridge to sell you,asian,Q1_2020,0
432,"#BoycottChina #WuhanCoronovirus You (China) kill Uighur people, Muslim people in China, and destroy 'masjid'. China people die.",you china kill uighur people muslim people in china and destroy masjid china people die,asian,Q1_2020,1
460,'OK Boomer' makes it to the Supreme Court - CNNPolitics #okboomer,ok boomer makes it to the supreme court  cnnpolitics,ageism,Q1_2020,0
467,A.I. Clone. Bish stole my lewk. #okboomer @RussianDoll @goldenglobes @Moschino,ai clone bish stole my lewk,ageism,Q1_2020,0
476,I can't even SEE the loop from under my rock. #irrelevant #obsolete #okboomer,i cant even see the loop from under my rock,ageism,Q1_2020,0
479,parents should legally have to disclose to you if their kids are unvaccinated before they start talking to you,parents should legally have to disclose to you if their kids are unvaccinated before they start talking to you,vaccine,Q1_2020,0
486,"Yay, Max Brooks! #okboomer #GenX #GenXers #GenZ #millennial Please listen to what this young whippersnapper has to say to you. #DontBeASpreader #FlattenTheCurve Save @MelBrooks and all his friends, please.",yay max brooks please listen to what this young whippersnapper has to say to you save and all his friends please,ageism,Q1_2020,0
494,"Yesterday s bike ride featured peak #okboomer performance by me coming up path near @BachelorFarmer, Zoomennial lets out gigantic body-torquing sneeze, totally uncovered &amp; aerosolized, and reflexively I yelled out, COVER YOUR SNEEZE ASSSSHOOOOOLE. Earned a hearty FUCK YOU.",yesterday s bike ride featured peak okboomer performance by me coming up path near  zoomennial lets out gigantic bodytorquing sneeze totally uncovered  aerosolized and reflexively i yelled out cover your sneeze asssshooooole earned a hearty fuck you,ageism,Q1_2020,1
507,Downing Street says China faces a 'reckoning' over the coronavirus | Daily Mail Online This world is awaking. #ChineseVirus #ChinaLiedPeopleDie,downing street says china faces a reckoning over the coronavirus  daily mail online this world is awaking,asian,Q1_2020,0
508,The antivax teacher WILL perish for fucking me over on grades THE SASQUATCH WILL NOT FUCKING SAVE YOU BITCH,the antivax teacher will perish for fucking me over on grades the sasquatch will not fucking save you bitch,vaccine,Q1_2020,1
514,"Vitamin C effectively prevents, treats #coronavirus. IVtoGo provides approximately equivalent absorption to the 24,000 mg IV #vitaminC vitaminC currently being administered at Zhonghan Hospital in Wuhan. #coronavirususa #WuhanVirus #COVID #ChinaVirus",vitamin c effectively prevents treats coronavirus ivtogo provides approximately equivalent absorption to the 24000 mg iv vitaminc vitaminc currently being administered at zhonghan hospital in wuhan,asian,Q1_2020,0
517,#morocco #army #coronavirus #Covid_19 #CCP_is_terrorist #CCPLiedPeopleDied #CCPcoronavirus @IceAgeFarmer @aliostad @WarsontheBrink @CoronaTurkey @covid__19 The army is getting deployed in Moroccan city's now,the army is getting deployed in moroccan citys now,asian,Q1_2020,0
523,All mainland Chinese ate brainwashed #CCPChina #CCP_is_terrorist,all mainland chinese ate brainwashed,asian,Q1_2020,1
530,And CCP claims China is one of the superpower in the world now..... the doctors in Wuhan cant even get a real mask.... #ChiNazi #CPCisTerrorist #SoCalledSuperpower #WuhanCoronavirusOutbreak,and ccp claims china is one of the superpower in the world now the doctors in wuhan cant even get a real mask,asian,Q1_2020,0
531,China is Virus of whole world #ChineseVirus19 #ChinaVirus #CCPVirus #CCPLiedPeopleDied #CCP #WuhanVirus,china is virus of whole world,asian,Q1_2020,1
533,Coronavirus Outbreak: China can be prosecuted under international laws for 'under-reporting' virus threat #ChinaLiedPeopleDied #HoldChinaAccountable #CloseTheCamps,coronavirus outbreak china can be prosecuted under international laws for underreporting virus threat,asian,Q1_2020,0
546,#WHO is shameless and useless. Or should we call it #CHO ? #ChinaLiesPeopleDie #WuhanVirus #COVID19 #ChinaVirus,who is shameless and useless or should we call it cho,asian,Q1_2020,0
552,While #china officials and their internet army are working fiercely to shift the blame of #WuhanVirus to the #USA their own backyard is on fire #chinazi #ChineseVirus #WHO #DrTedros #WuhanCoronavirus #Wuhan #trump #TomHanks #IdrisElba #nbasuspended,while china officials and their internet army are working fiercely to shift the blame of wuhanvirus to the usa their own backyard is on fire,asian,Q1_2020,1
560,"Absolutely. How can you watch this &amp; think #okboomer ,out of touch, grandpa Joe, is what this country needs. He s in disguised as a - #SanderSisters #BernieSurge #BernieBrothers",absolutely how can you watch this  think okboomer out of touch grandpa joe is what this country needs he s in disguised as a,ageism,Q1_2020,0
567,"Roses are red and violets are blue, Antivax #bioterrorists like to distort truth and lie to you.... #HealthPolicyValentines",roses are red and violets are blue antivax bioterrorists like to distort truth and lie to you healthpolicyvalentines,vaccine,Q1_2020,1
572,Anti-vaxxers slam doctor s viral flu video,antivaxxers slam doctor s viral flu video,vaccine,Q1_2020,0
576,"China Is A Coward Country Who Couldn't Handle Usa, India, Israel, France, Germany In A Straight War Situation So In Order To Avoid Any Clash Did This Shameful Act. #ChineseVirus19 #ChineseVirus #BoycottChina #ChinaMustPay",china is a coward country who couldnt handle usa india israel france germany in a straight war situation so in order to avoid any clash did this shameful act,asian,Q1_2020,1
579,Italy seeks war damages from China! #MakeChinaPay #prayforitaly,italy seeks war damages from china,asian,Q1_2020,0
598,"Shhhh! Everyone knows how you US conservative old white males value money over human lives, but you re not actually supposed to say it out loud! #okboomer",shhhh everyone knows how you us conservative old white males value money over human lives but you re not actually supposed to say it out loud,ageism,Q1_2020,1
599,"Greatest crime committed against humanity by #CommunistChina Please retweet and trend this tweet, it's the only way v can show our anger against the #Communist in China. Chinese people must be freed from #CCP hold #ChineseVirus19 #CCPVirus #CCPLiedPeopleDied #HongKong",greatest crime committed against humanity by communistchina please retweet and trend this tweet its the only way v can show our anger against the communist in china chinese people must be freed from ccp hold,asian,Q1_2020,0
602,"If there is one thing I hope that #COVID2019 #coronavirus kills, it is the idea of being antivax.",if there is one thing i hope that kills it is the idea of being antivax,vaccine,Q1_2020,0
608,"We've been anthropomorphising the market since Adam Smith's invisible hand. Why stop now? #notcreepyatall ""That's what the market likes."" #okboomer Fox outdoes itself again..",weve been anthropomorphising the market since adam smiths invisible hand why stop now notcreepyatall thats what the market likes okboomer fox outdoes itself again,ageism,Q1_2020,0
647,"I am exactly ""Pulled a Leg Muscle While Tying My Shoes"" years old today! And I use the word ""muscle"" loosely. #okboomer",i am exactly pulled a leg muscle while tying my shoes years old today and i use the word muscle loosely,ageism,Q1_2020,0
659,Everytime I try not to get sloppy on that dick. Niggas demand that I do. I guess he was right when he said gone be that nasty bitch . #maskoff #nofacenocasegang,everytime i try not to get sloppy on that dick niggas demand that i do i guess he was right when he said gone be that nasty bitch,mask,Q1_2020,1
662,Hey piers what about me #metoo #okboomer,hey piers what about me,ageism,Q1_2020,0
663,You sir are unvaccinated. Get it together. Stop sharing this trash. #killthebill #votenoS2173 #votenoA3818,you sir are unvaccinated get it together stop sharing this trash,vaccine,Q1_2020,0
668,Negative. Can t afford cable #okboomer,negative can t afford cable,ageism,Q1_2020,0
670,#WhatsAppUncle = Indian version of #okboomer!?,indian version of okboomer,ageism,Q1_2020,0
688,"I know this sounds very #okboomer, but... Why do artists have to ""drop"" albums, singles and videos now. Was there an issue with releasing them?",i know this sounds very okboomer but why do artists have to drop albums singles and videos now was there an issue with releasing them,ageism,Q1_2020,0
694,My 32 old co-worker has been told #okboomer by his 7 year old.,my 32 old coworker has been told okboomer by his 7 year old,ageism,Q1_2020,0
695,"To the boomer playing his music too loud from his garage while pacing the block, fuck you, this is why everyone hates you. #okboomer",to the boomer playing his music too loud from his garage while pacing the block fuck you this is why everyone hates you,ageism,Q1_2020,1
699,"A 40yrs old Kiwi Teddy Bear, his Millennial son and their Aussie, ex-pat Teenage cousin, Stormy. What else could you want. #newzealandcomics #comicstrip #teddybears #comics #indiecomics #okboomer #GenX #Millennials #GenZ @whangareiNZ @malphunkson @RisingSunComics",a 40yrs old kiwi teddy bear his millennial son and their aussie expat teenage cousin stormy what else could you want,ageism,Q1_2020,0
713,"fuck the #CCP_is_terrorist , this is a bio-terrorist attack to the whole Free World #ChineseWuhanVirus",fuck the ccp_is_terrorist  this is a bioterrorist attack to the whole free world,asian,Q1_2020,1
725,"Hey @GovMikeHuckabee Does @SarahHuckabee think this is funny? How about your wife? How about previous constituents who are women? How about women doctors, nurses &amp; first responders on the frontlines during this pandemic? This is disgusting behavior right now. #okboomer #shutup",hey does think this is funny how about your wife how about previous constituents who are women how about women doctors nurses  first responders on the frontlines during this pandemic this is disgusting behavior right now,ageism,Q1_2020,0
727,"""Bitcoin will never be a real currency!"" - ""OK Boomer"" #okboomer #bitcoin",bitcoin will never be a real currency  ok boomer,ageism,Q1_2020,0
742,Capricorn Partners &amp; Novax in funding round for plant-based protein company Prolupin,capricorn partners  novax in funding round for plantbased protein company prolupin,vaccine,Q1_2020,0
754,There should be a minimum 200 fine for everyone breaking social distancing and lockdown rules. Learn some fucking common sense people. We're in lockdown because of selfish #covidiots like this. STAY. THE FUCK. HOME.,there should be a minimum 200 fine for everyone breaking social distancing and lockdown rules learn some fucking common sense people were in lockdown because of selfish covidiots like this stay the fuck home,ageism,Q1_2020,1
773,"#okboomer - who broke the sound barrier?... A ""boomer""!",who broke the sound barrier a boomer,ageism,Q1_2020,0
783,"With the exception of Carter, who left office in 1981, every living ex-President is younger than the three remaining candidates. #okboomer",with the exception of carter who left office in 1981 every living expresident is younger than the three remaining candidates,ageism,Q1_2020,0
784,The eggshell headed people now are scrutinizing flag #covidiots,the eggshell headed people now are scrutinizing flag,ageism,Q1_2020,0
786,Could Invisible Ink Tattoos Be Used By The Elites To Identify Unvaccinated Kids? | Zero Hedge,could invisible ink tattoos be used by the elites to identify unvaccinated kids  zero hedge,vaccine,Q1_2020,0
789,This #chinazi was telling the truth : CHINA is threatening the world ! It is happening! #MakeChinaPay,this chinazi was telling the truth  china is threatening the world  it is happening,asian,Q1_2020,1
802,that antivax pussy got me and my stepson acting strange,that antivax pussy got me and my stepson acting strange,vaccine,Q1_2020,1
814,"idc what people do wit they kids, as long as they keep they unvaccinated asses away from mine",idc what people do wit they kids as long as they keep they unvaccinated asses away from mine,vaccine,Q1_2020,0
824,More antivax crap. Some foolish people are holding Coronavirus parties.,more antivax crap some foolish people are holding coronavirus parties,vaccine,Q1_2020,1
827,This anti-vaxer is insisting that disease surveillance statistics isn't reliable enough to show that unvaccinated people are more likely to catch and spread VPDs. Only PUBMED LINKS will do. Share whatever you have! #VaccinesWork #vaccines #VaccinateYourKids #VaccinesCauseAdults,this antivaxer is insisting that disease surveillance statistics isnt reliable enough to show that unvaccinated people are more likely to catch and spread vpds only pubmed links will do share whatever you have,vaccine,Q1_2020,0
829,I hate drs so much i fully get the antivax movement in america finally,i hate drs so much i fully get the antivax movement in america finally,vaccine,Q1_2020,0
858,"Girl, 13, dies from the flu days before her 14th birthday and an unvaccinated four-year-old goes blind during one of the worst virus seasons for decades that's killed 32 children via",girl 13 dies from the flu days before her 14th birthday and an unvaccinated fouryearold goes blind during one of the worst virus seasons for decades thats killed 32 children via,vaccine,Q1_2020,0
871,Thanks to all you fuckwit anti vaxers #antivax,thanks to all you fuckwit anti vaxers,vaccine,Q1_2020,1
888,before i ccatch shit for kira shes antivax so everyone go bully her into submission,before i ccatch shit for kira shes antivax so everyone go bully her into submission,vaccine,Q1_2020,1
924,"Listen to these people @NJSenatePres !!! There are thousands more vaccine injured children than illness. Take a step back, listen to our voices. @HighWireTalk #JerseyStrong #wewillnotcomply #scienceisnotsettles #thereisarisk",listen to these people  there are thousands more vaccine injured children than illness take a step back listen to our voices,vaccine,Q1_2020,0
952,God says flat earthers &amp; antivax deniers are super duper stupid. The End.,god says flat earthers  antivax deniers are super duper stupid the end,vaccine,Q1_2020,1
959,Our president is basically just a antivax facebook mom at this point. Telling people it's fine to go into work and whatever places if you have the Coronavirus. Intentionally spreading misinformation is a dangerous game that puts lives at risk and his sheep will still follow,our president is basically just a antivax facebook mom at this point telling people its fine to go into work and whatever places if you have the coronavirus intentionally spreading misinformation is a dangerous game that puts lives at risk and his sheep will still follow,vaccine,Q1_2020,1
968,"this antivax teacher legit just said ""I'm not worried about COVID-19, I have my CBD oil"" BRUHHHHH",this antivax teacher legit just said im not worried about covid19 i have my cbd oil bruhhhhh,vaccine,Q1_2020,0
982,"It is also discrimination to ban healthy, unvaccinated kids from school but you seem to be quite okay with this. WHY? Why don't you @GavinNewsom become a model for other states and ban vaccination discrimination?",it is also discrimination to ban healthy unvaccinated kids from school but you seem to be quite okay with this why why dont you become a model for other states and ban vaccination discrimination,vaccine,Q1_2020,0
985,The homeless illegals and our own..pissing and ing and shooting up..living on top of each other..unvaccinated...not washing hands...that is a disaster ...waiting. You already see California and New York &amp; Oregon hot beds...hmm wonder why..,the homeless illegals and our ownpissing and ing and shooting upliving on top of each otherunvaccinatednot washing handsthat is a disaster waiting you already see california and new york  oregon hot bedshmm wonder why,vaccine,Q1_2020,1
1058,"Just got in a shit FB debate with an old friend who is anti-vaccines. In it they implied I m stupid, a shill for big pharma and incapable of interpreting evidence. ad hominem arguments for the win I guess. It s a brutal way to treat people who simply disagree with you #antivax",just got in a shit fb debate with an old friend who is antivaccines in it they implied i m stupid a shill for big pharma and incapable of interpreting evidence ad hominem arguments for the win i guess it s a brutal way to treat people who simply disagree with you,vaccine,Q1_2020,0
1086,Every single one of these cretins contributed to the unnecessary death of an innocent four year old. #antivax,every single one of these cretins contributed to the unnecessary death of an innocent four year old,vaccine,Q1_2020,1
1088,"It seems like reading the wikipedia article on a subject is actually better than just googling it, sometimes. At least it has a standard you can expect, and isn't filled with antivax-like articles which do nothing but beg the question.",it seems like reading the wikipedia article on a subject is actually better than just googling it sometimes at least it has a standard you can expect and isnt filled with antivaxlike articles which do nothing but beg the question,vaccine,Q1_2020,0
1095,Sneezing on y all unvaccinated kids &gt;,sneezing on y all unvaccinated kids gt,vaccine,Q1_2020,0
1102,"I work in a hospital and over heard a nurse saying ""the coronavirus is just the flu"" and I'm just really sad to live in the bible belt surrounded by antivax conservatives. But at least we have the guns to try and kill the virus???",i work in a hospital and over heard a nurse saying the coronavirus is just the flu and im just really sad to live in the bible belt surrounded by antivax conservatives but at least we have the guns to try and kill the virus,vaccine,Q1_2020,0
1112,I don t expect things to get better in 2020. #Antivax misinformation movement in America still runs mostly unopposed. We ve not hit bottom yet,i don t expect things to get better in 2020 antivax misinformation movement in america still runs mostly unopposed we ve not hit bottom yet,vaccine,Q1_2020,0
1114,I hate being negative all the time but TaysWay needs to catch coronavirus so she knows first hand that antivax is bullshit lol,i hate being negative all the time but taysway needs to catch coronavirus so she knows first hand that antivax is bullshit lol,vaccine,Q1_2020,1
1123,Download EPUB The Unvaccinated Child: A Treatment Guide for Parents and Caregivers &gt;&gt;,download epub the unvaccinated child a treatment guide for parents and caregivers gtgt,vaccine,Q1_2020,0
1149,Doin my darndest not to flip off the antivax protestors from my truck. Just giving them *really really* sour looks.,doin my darndest not to flip off the antivax protestors from my truck just giving them really really sour looks,vaccine,Q1_2020,0
1152,"#AntiVax everywhere: An immunologist just CAN'T understand what real immunology is the way we've revealed things with our Power Of Google. No, no, we can't discuss it in terms of real biology, but you should believe us when making medical decisions",everywhere an immunologist just cant understand what real immunology is the way weve revealed things with our power of google no no we cant discuss it in terms of real biology but you should believe us when making medical decisions,vaccine,Q1_2020,0
1158,"Question @GovernorVA &amp; @vademocrats- you gonna ban clubs, wrenches, zip ties and wigs next? Your Gun Control schemes could ve resulted in 2 VA WOMEN dying at the hands of someone wishing them harm. #ShallNotBeInfringed #WeWillNotComply",question   you gonna ban clubs wrenches zip ties and wigs next your gun control schemes could ve resulted in 2 va women dying at the hands of someone wishing them harm,vaccine,Q1_2020,0
1161,I hate all the nasty ass anti vaxxers that come to the islands with their unvaccinated kids. I hate yall.,i hate all the nasty ass anti vaxxers that come to the islands with their unvaccinated kids i hate yall,vaccine,Q1_2020,1
1162,Nearly 3000 RTs for an antivax nutter.,nearly 3000 rts for an antivax nutter,vaccine,Q1_2020,1
